,수업년도,수업학기,수업번호,정원,수강,1,2,3,4,5,6,전체취소,정정취소,희망수업등록,증원인원,재수강인원
108,2021,20,13258,70,68,24,30,12,1,1,25,25,1,107,0,
109,2021,20,10405,50,48,24,19,1,1,2,2,1,0,24,0,5
110,2021,20,12992,43,43,24,6,7,6,2,8,10,0,71,0,2
111,2021,20,15338,30,30,24,6,1,0,0,7,8,0,146,0,1
112,2021,20,15349,30,28,24,4,1,0,1,4,6,2,168,0,
113,2021,20,15354,30,30,24,3,2,1,0,3,3,0,170,0,1
114,2021,20,15280,40,57,23,17,5,5,3,39,35,12,121,0,5
115,2021,20,10209,60,57,23,15,9,6,3,21,20,1,94,0,1
116,2021,20,15006,50,48,23,8,9,6,3,25,26,2,106,0,12
117,2021,20,15004,33,30,23,7,4,1,1,5,11,3,107,0,1
118,2021,20,15333,35,35,23,7,1,1,1,13,11,0,87,0,1
119,2021,20,15353,30,28,23,7,0,0,1,8,11,1,109,0,3
120,2021,20,15347,30,33,23,6,2,1,1,6,6,0,152,3,4
121,2021,20,15352,30,30,23,5,1,0,1,6,6,0,148,0,2
122,2021,20,10400,24,24,23,1,0,0,0,1,1,0,33,0,5
123,2021,20,13213,50,49,22,16,9,2,1,1,2,1,104,0,
124,2021,20,15256,30,29,22,6,1,2,1,4,7,1,130,0,
125,2021,20,13336,22,22,22,0,0,0,0,0,0,0,41,0,2
126,2021,20,13252,70,75,21,24,13,9,2,16,10,1,145,6,
127,2021,20,11702,75,77,21,22,18,8,2,30,24,1,144,4,
128,2021,20,12741,50,50,21,18,11,0,0,2,2,0,88,0,
129,2021,20,15462,70,69,21,18,5,13,3,21,12,1,179,0,
130,2021,20,15277,80,79,21,17,4,9,13,46,31,1,129,0,1
131,2021,20,15220,90,79,21,16,19,10,7,108,102,8,150,0,
132,2021,20,15215,50,46,21,11,7,5,2,39,39,4,87,0,
133,2021,20,15341,40,39,21,5,1,2,1,28,19,1,137,0,
134,2021,20,12710,42,42,20,20,0,0,0,3,1,0,74,0,
135,2021,20,15160,40,36,20,14,5,2,0,12,17,4,86,0,5
136,2021,20,10092,40,35,20,11,9,5,1,20,31,7,70,3,
137,2021,20,10865,39,42,20,8,4,4,2,15,11,1,76,5,
138,2021,20,15270,30,29,20,8,1,0,0,2,2,1,97,0,
139,2021,20,12000,40,36,20,7,4,2,2,14,13,1,44,0,1
140,2021,20,12810,30,40,20,7,3,2,3,13,8,0,77,10,1
141,2021,20,15251,30,29,20,7,1,0,1,5,5,1,117,0,
142,2021,20,15255,30,29,20,4,2,1,1,5,4,1,77,0,
143,2021,20,15346,30,30,20,4,2,0,1,14,11,0,181,0,2
144,2021,20,12674,20,20,20,0,0,0,0,1,1,0,72,0,4
145,2021,20,15117,100,100,19,26,14,4,6,93,62,1,158,3,
146,2021,20,12085,60,67,19,23,13,2,1,19,14,1,103,13,
147,2021,20,10965,52,62,19,23,1,4,3,15,3,2,98,15,
148,2021,20,12120,42,49,19,19,2,0,1,20,12,0,64,7,
149,2021,20,10748,60,76,19,18,7,7,2,28,5,0,105,16,
150,2021,20,15179,50,47,19,15,5,8,3,23,26,0,94,0,
151,2021,20,12560,45,50,19,12,14,1,0,5,1,0,61,5,
152,2021,20,15214,50,48,19,12,11,4,5,17,20,2,95,0,8
153,2021,20,12938,50,48,19,12,8,6,2,15,14,0,61,0,1
154,2021,20,15081,40,28,19,11,4,2,2,16,26,10,79,0,4
155,2021,20,15271,30,26,19,10,2,0,0,1,6,4,85,0,
156,2021,20,15253,30,28,19,7,0,3,1,1,3,2,103,0,1
157,2021,20,15042,24,24,19,5,0,0,0,0,0,0,85,0,9
158,2021,20,15047,24,24,19,3,2,0,0,4,4,0,76,0,
159,2021,20,15048,24,22,19,2,2,1,0,4,6,2,81,0,2
160,2021,20,12268,64,64,18,27,5,1,6,17,10,0,101,0,2
161,2021,20,13222,70,69,18,25,12,9,3,14,12,3,124,2,
162,2021,20,11765,60,83,18,22,7,5,5,34,8,1,100,25,
163,2021,20,10871,40,54,18,19,5,2,0,14,4,0,93,14,2
164,2021,20,10104,40,35,18,18,3,0,1,9,14,4,67,0,
165,2021,20,10694,45,45,18,15,4,4,1,6,3,0,91,0,
166,2021,20,15318,45,44,18,11,4,1,3,23,16,1,119,0,
167,2021,20,11313,30,34,18,10,1,0,0,7,2,1,64,5,2
168,2021,20,15195,30,30,18,9,2,0,0,7,6,0,116,0,
169,2021,20,15344,30,34,18,7,3,1,2,35,32,1,72,5,
170,2021,20,15013,20,20,18,2,0,0,0,6,6,0,49,0,
171,2021,20,12890,22,25,18,1,3,0,0,3,0,0,65,3,1
172,2021,20,10435,150,128,17,28,25,18,10,47,40,2,154,0,
173,2021,20,15421,200,73,17,25,24,13,9,56,71,6,119,0,
174,2021,20,11585,40,40,17,16,6,0,2,2,3,0,94,0,1
175,2021,20,12079,40,38,17,15,7,1,0,3,5,2,98,0,
176,2021,20,10693,45,45,17,15,2,2,3,6,0,0,90,0,
177,2021,20,15200,40,39,17,12,5,2,0,15,12,1,106,0,
178,2021,20,12090,30,24,17,11,1,0,2,14,21,1,54,0,
179,2021,20,15314,30,26,17,10,4,0,0,10,15,3,94,0,7
180,2021,20,15402,35,27,17,6,4,3,2,16,21,0,37,0,6
181,2021,20,15044,24,24,17,6,0,2,0,5,6,0,56,0,3
182,2021,20,15332,35,34,17,4,6,4,1,7,5,1,141,0,
183,2021,20,15269,30,29,17,3,1,5,2,20,19,1,81,0,3
184,2021,20,10284,90,86,16,26,27,15,8,46,52,4,121,0,2
185,2021,20,15161,60,68,16,23,9,6,4,51,41,1,123,10,
186,2021,20,10630,68,67,16,19,8,5,2,18,1,1,120,0,4
187,2021,20,10234,60,37,16,18,14,11,1,31,54,4,106,0,7
188,2021,20,12726,45,51,16,16,13,0,0,10,4,0,84,6,
189,2021,20,15073,50,42,16,15,14,1,3,32,39,7,87,0,
190,2021,20,10927,50,49,16,10,10,8,3,10,8,0,61,0,
191,2021,20,15250,35,35,16,10,4,2,2,8,7,0,82,0,5
192,2021,20,15198,40,40,16,8,4,4,2,26,20,0,97,0,
193,2021,20,10372,25,23,16,4,1,2,3,8,11,1,35,5,33
194,2021,20,13362,17,17,16,1,0,0,0,1,1,0,62,0,
195,2021,20,12733,50,50,15,32,1,2,0,0,0,0,87,0,
196,2021,20,12836,62,55,15,25,10,6,3,4,9,6,142,2,
197,2021,20,10931,45,49,15,24,4,0,2,4,0,0,84,4,
198,2021,20,15434,200,159,15,23,18,17,17,118,49,4,137,0,2
199,2021,20,11419,50,52,15,23,5,2,2,10,5,0,74,3,
200,2021,20,15283,200,178,15,22,30,31,32,286,238,10,249,0,
201,2021,20,15162,60,69,15,21,12,7,5,40,31,1,117,10,
202,2021,20,10723,45,42,15,19,4,0,2,4,2,0,50,0,11
203,2021,20,13207,60,60,15,18,12,8,1,13,7,2,100,2,1
204,2021,20,15072,100,97,15,17,15,14,9,113,86,2,137,0,
205,2021,20,11889,50,48,15,15,7,3,1,13,6,1,85,0,1
206,2021,20,15123,50,46,15,14,4,8,6,31,32,3,87,0,
207,2021,20,12088,50,53,15,13,15,6,5,31,32,2,106,9,2
208,2021,20,11829,46,44,15,13,7,1,1,9,2,2,83,0,5
209,2021,20,10972,104,54,15,12,7,7,2,22,11,0,55,0,1
210,2021,20,12927,29,45,15,12,3,0,1,17,3,0,73,16,
211,2021,20,15339,30,30,15,11,2,1,0,11,10,0,127,0,
212,2021,20,15249,35,31,15,6,7,1,3,16,17,4,82,0,3
213,2021,20,11874,24,26,15,6,2,1,1,2,2,0,42,2,1
214,2021,20,10413,50,48,15,1,3,2,9,19,1,0,24,0,
215,2021,20,13310,16,18,15,1,0,0,0,2,0,0,34,0,2
216,2021,20,15419,200,112,14,27,24,11,14,87,65,10,151,0,3
217,2021,20,15404,100,97,14,27,13,14,11,86,68,2,145,0,1
218,2021,20,12274,55,52,14,24,13,1,0,4,4,3,123,0,
219,2021,20,15101,90,88,14,22,8,10,7,94,67,2,158,0,7
220,2021,20,13161,60,69,14,21,22,2,0,12,2,1,96,11,
221,2021,20,13045,40,40,14,18,6,1,0,5,4,0,80,0,
222,2021,20,13352,55,54,14,17,3,8,3,12,3,1,106,0,
223,2021,20,10008,77,71,14,16,21,15,5,5,5,1,64,0,
224,2021,20,11767,80,76,14,15,20,9,3,43,28,7,110,3,1
225,2021,20,15244,35,35,14,15,3,2,1,6,6,0,72,0,
226,2021,20,11799,30,29,14,13,3,0,0,1,2,1,44,0,6
227,2021,20,12559,40,37,14,12,8,6,0,3,6,2,55,0,2
228,2021,20,15248,30,27,14,12,3,0,1,10,13,3,70,0,12
229,2021,20,10192,90,74,14,10,11,8,8,64,41,3,101,0,1
230,2021,20,11753,50,64,14,8,7,4,5,39,13,0,84,17,4
231,2021,20,15021,20,20,14,5,1,0,0,2,2,0,43,0,
232,2021,20,15468,20,20,14,3,2,2,0,1,2,0,186,0,
233,2021,20,10976,17,17,14,3,0,0,0,0,0,0,57,0,
234,2021,20,10647,15,15,14,1,0,0,0,1,1,0,43,0,4
235,2021,20,11180,200,192,13,45,40,39,9,68,22,1,222,0,
236,2021,20,13259,60,57,13,30,11,8,3,39,47,4,85,1,1
237,2021,20,13180,75,74,13,24,19,14,3,8,7,1,108,0,
238,2021,20,12144,50,49,13,21,11,3,1,4,4,2,98,1,2
239,2021,20,15420,200,93,13,19,20,9,11,80,59,6,132,0,
240,2021,20,15381,40,39,13,17,7,1,0,10,9,1,60,0,
241,2021,20,11732,58,56,13,17,6,3,0,22,5,1,69,0,
242,2021,20,15285,200,104,13,16,24,28,27,281,285,14,173,0,
243,2021,20,15105,80,76,13,15,14,12,11,90,79,5,122,15,
244,2021,20,10432,45,25,13,13,10,6,4,21,43,8,74,0,1
245,2021,20,15260,30,29,13,12,3,1,1,3,4,1,88,0,1
246,2021,20,15186,45,42,13,9,4,8,2,46,40,2,70,0,3
247,2021,20,11310,50,49,13,8,13,4,3,28,20,2,72,2,
248,2021,20,15034,30,28,13,8,2,7,2,29,33,1,63,0,
249,2021,20,15051,24,22,13,6,3,1,3,12,16,2,55,0,
250,2021,20,12656,20,19,13,6,1,0,0,4,5,1,50,0,
251,2021,20,15039,20,20,13,5,1,2,0,2,3,0,72,0,
252,2021,20,11877,20,29,13,5,0,1,1,7,0,0,39,9,
253,2021,20,15055,20,20,13,3,3,0,1,1,1,0,64,0,1
254,2021,20,13311,16,16,13,3,0,0,0,0,0,0,32,0,
255,2021,20,13396,15,14,13,1,0,0,0,5,6,3,23,2,
256,2021,20,13463,70,47,12,32,23,8,3,9,40,3,89,0,
257,2021,20,13372,61,61,12,23,5,1,2,19,1,0,114,0,1
258,2021,20,13206,60,58,12,22,13,5,0,18,12,2,111,0,
259,2021,20,13214,50,49,12,20,12,4,1,5,5,1,92,0,11
260,2021,20,12991,70,70,12,18,25,19,4,15,23,0,113,0,
261,2021,20,15106,80,90,12,18,12,9,15,91,67,3,133,15,2
262,2021,20,12182,40,40,12,18,9,2,0,2,3,0,77,0,1
263,2021,20,13249,60,62,12,16,15,13,4,19,17,0,116,2,1
264,2021,20,15113,40,36,12,14,7,2,5,17,21,4,94,0,
265,2021,20,12780,40,40,12,14,6,3,1,5,1,0,51,0,4
266,2021,20,10005,45,40,12,13,10,6,1,16,18,7,54,0,
267,2021,20,15243,35,35,12,12,5,2,1,14,11,0,69,0,9
268,2021,20,13196,70,68,12,10,21,15,13,15,18,1,95,0,1
269,2021,20,11979,60,56,12,10,7,3,1,35,12,1,83,0,
270,2021,20,13044,50,54,12,9,5,14,11,12,9,0,84,4,
271,2021,20,10171,30,28,12,8,5,3,4,10,14,1,35,10,
272,2021,20,11923,21,23,12,8,0,0,1,7,5,0,45,2,
273,2021,20,15178,50,39,12,7,6,5,9,81,81,5,83,0,
274,2021,20,15247,30,28,12,7,6,2,1,11,11,1,76,0,
275,2021,20,15350,30,27,12,7,6,1,4,21,24,2,159,0,100
276,2021,20,13314,26,25,12,7,1,0,0,5,0,0,42,0,1
277,2021,20,10939,20,20,12,6,1,0,0,2,1,0,42,0,
278,2021,20,11624,50,54,12,5,13,5,7,35,23,0,104,4,4
279,2021,20,15467,20,20,12,5,1,1,0,4,3,0,94,0,
280,2021,20,15466,20,20,12,4,1,0,0,5,2,0,110,0,
281,2021,20,10080,20,10,12,3,3,0,3,1,12,0,24,0,
282,2021,20,12979,15,14,12,2,0,0,1,0,1,0,40,0,
283,2021,20,13373,17,17,12,0,1,0,0,5,1,0,43,0,
284,2021,20,12753,12,12,12,0,0,1,1,1,3,0,24,0,5
285,2021,20,11820,24,22,12,0,0,0,1,12,3,2,25,0,5
286,2021,20,12981,12,12,12,0,0,0,0,0,0,0,31,0,1
287,2021,20,10219,70,61,11,35,14,8,5,49,61,3,107,0,
288,2021,20,10110,140,113,11,34,30,18,6,13,17,1,121,0,1
289,2021,20,13343,65,65,11,26,18,8,3,10,11,0,96,0,12
290,2021,20,15173,80,82,11,25,10,11,10,49,34,3,124,5,
291,2021,20,10959,80,90,11,19,26,13,8,17,4,0,98,10,
292,2021,20,13191,58,57,11,19,25,3,0,2,3,1,95,0,
293,2021,20,10889,40,78,11,16,7,5,5,39,5,0,90,40,7
294,2021,20,12840,47,47,11,15,12,6,2,1,0,0,103,0,
295,2021,20,10426,55,48,11,14,18,6,3,29,33,2,66,0,1
296,2021,20,15241,100,90,11,14,14,13,9,156,127,7,152,0,7
297,2021,20,12808,40,53,11,14,13,4,4,12,5,2,88,15,
298,2021,20,15163,45,36,11,13,11,4,4,46,53,7,97,0,
299,2021,20,12286,60,54,11,13,9,10,7,11,7,2,76,0,
300,2021,20,10819,42,41,11,13,9,5,1,8,6,1,75,0,2
301,2021,20,15002,50,49,11,13,4,6,2,38,25,1,75,0,1
302,2021,20,10153,55,31,11,13,2,4,2,0,1,1,23,0,1
303,2021,20,12131,30,41,11,12,4,0,1,20,7,1,63,12,
304,2021,20,10423,40,38,11,11,7,4,2,15,14,0,50,0,2
305,2021,20,12218,200,112,11,10,16,8,17,81,31,3,125,0,
306,2021,20,12634,40,40,11,10,12,6,1,4,4,0,79,0,1
307,2021,20,15257,35,33,11,10,1,1,1,28,19,2,67,0,3
308,2021,20,15077,60,55,11,9,13,9,10,67,64,1,95,0,1
309,2021,20,12839,57,52,11,9,11,8,8,11,6,5,117,0,2
310,2021,20,10391,30,23,11,9,8,2,2,5,14,0,39,10,
311,2021,20,15393,45,47,11,8,6,5,7,30,20,3,71,5,
312,2021,20,15098,30,29,11,7,7,5,5,18,24,0,67,0,
313,2021,20,10810,34,32,11,6,3,2,1,12,3,2,31,0,2
314,2021,20,15050,24,21,11,6,3,1,1,12,13,3,64,0,5
315,2021,20,10038,30,22,11,5,10,5,5,19,33,2,40,0,
316,2021,20,15028,20,20,11,5,4,0,0,2,2,0,40,0,4
317,2021,20,10554,58,51,11,5,3,5,6,26,5,0,49,0,2
318,2021,20,15469,20,20,11,5,2,1,1,1,1,0,89,0,
319,2021,20,15435,200,76,11,4,12,8,15,53,27,3,83,0,6
320,2021,20,10996,35,23,11,4,6,3,2,24,27,1,46,0,2
321,2021,20,15343,30,27,11,4,4,6,6,26,30,3,105,0,
322,2021,20,10721,55,50,11,1,4,6,10,20,2,1,50,3,
323,2021,20,10832,17,19,11,1,2,0,1,8,4,0,33,2,30
324,2021,20,12760,14,14,11,1,0,0,0,3,1,0,30,0,
325,2021,20,12751,12,12,11,1,0,0,0,1,1,0,26,0,
326,2021,20,11441,12,12,11,1,0,0,0,0,0,0,27,0,
327,2021,20,12750,12,12,11,0,0,0,0,2,1,0,28,0,1
328,2021,20,15112,101,89,10,23,10,13,16,165,148,13,151,0,
329,2021,20,10861,40,43,10,19,11,0,2,8,7,0,69,3,
330,2021,20,12959,57,56,10,17,11,6,4,12,4,1,112,0,2
331,2021,20,10229,48,46,10,16,15,5,3,15,18,0,77,0,
332,2021,20,12631,40,40,10,15,15,0,0,1,1,0,63,0,
333,2021,20,12832,60,52,10,14,10,9,5,7,3,0,65,0,
334,2021,20,15279,50,49,10,14,7,7,4,27,20,1,81,0,1
335,2021,20,12983,50,49,10,13,16,7,2,4,3,1,85,0,3
336,2021,20,12430,40,39,10,13,4,1,3,13,5,1,70,0,3
337,2021,20,11414,95,48,10,12,5,10,6,20,15,1,62,0,3
338,2021,20,12796,40,42,10,11,16,1,2,6,4,1,65,3,1
339,2021,20,11413,60,54,10,11,14,3,5,22,11,1,73,0,
340,2021,20,11412,63,59,10,11,12,4,3,29,10,0,69,0,2
341,2021,20,15398,45,49,10,11,11,3,4,33,23,0,67,5,1
342,2021,20,15340,40,40,10,11,2,0,5,25,13,0,93,0,2
343,2021,20,12633,40,40,10,10,8,4,6,5,3,0,73,0,1
344,2021,20,10126,25,22,10,10,1,0,0,1,0,0,27,0,1
345,2021,20,13389,70,23,10,8,12,9,9,70,95,3,87,0,1
346,2021,20,11209,35,34,10,8,3,3,1,15,6,1,46,0,
347,2021,20,15058,20,20,10,8,2,0,0,1,1,0,49,0,
348,2021,20,15463,70,40,10,7,6,6,11,104,104,0,84,0,
349,2021,20,12510,40,37,10,5,11,8,4,31,32,2,59,0,
350,2021,20,15014,20,20,10,5,1,0,3,8,7,0,38,0,
351,2021,20,15376,25,25,10,4,6,2,1,7,5,0,63,0,5
352,2021,20,11210,34,33,10,4,2,1,2,18,4,1,47,0,
353,2021,20,12980,15,15,10,3,2,0,0,0,0,0,36,0,
354,2021,20,15136,12,20,10,3,1,1,2,6,3,1,49,0,1
355,2021,20,15012,20,18,10,3,1,0,2,10,8,0,31,0,
356,2021,20,15035,24,23,10,2,3,4,2,23,21,1,68,0,6
357,2021,20,12767,12,14,10,2,0,0,0,3,1,0,26,2,
358,2021,20,10655,12,12,10,2,0,0,0,0,0,0,38,0,8
359,2021,20,12758,12,12,10,1,1,0,1,0,1,0,25,1,1
360,2021,20,12742,13,12,10,1,0,0,0,2,1,0,34,0,1
361,2021,20,12744,14,14,10,0,0,0,0,5,1,0,39,0,4
362,2021,20,13132,13,12,10,0,0,0,0,2,0,0,20,0,
363,2021,20,10671,73,71,9,34,11,2,6,14,5,2,129,0,1
364,2021,20,15471,300,204,9,26,43,42,50,169,135,4,267,0,
365,2021,20,15445,150,147,9,23,16,18,22,287,228,0,216,0,
366,2021,20,10527,84,84,9,17,23,11,7,17,0,0,89,0,
367,2021,20,15366,50,45,9,17,8,4,6,30,29,5,103,0,
368,2021,20,15005,50,45,9,16,8,10,6,16,20,5,110,0,
369,2021,20,15290,30,76,9,15,7,10,4,58,27,4,103,0,
370,2021,20,12986,36,36,9,15,3,1,1,7,0,0,63,0,4
371,2021,20,15121,40,38,9,14,9,1,1,31,27,2,67,0,
372,2021,20,10042,30,26,9,14,4,5,1,7,14,4,60,0,
373,2021,20,15267,30,25,9,14,0,2,3,9,12,4,74,0,
374,2021,20,15152,80,73,9,13,19,9,8,97,82,5,123,0,
375,2021,20,11619,70,69,9,12,19,9,7,22,9,1,141,0,
376,2021,20,11557,60,44,9,12,13,8,3,36,37,1,77,0,
377,2021,20,15411,40,39,9,12,8,3,3,22,18,1,76,0,
378,2021,20,15287,30,34,9,11,1,5,3,28,23,0,47,0,1
379,2021,20,11793,46,45,9,10,12,10,4,11,11,1,61,0,4
380,2021,20,11687,35,37,9,9,12,4,5,8,10,1,74,5,
381,2021,20,15192,40,36,9,9,10,6,0,21,19,4,80,0,2
382,2021,20,12798,40,48,9,9,7,6,7,13,3,0,55,8,1
383,2021,20,15274,50,49,9,9,6,7,6,40,28,1,71,0,
384,2021,20,10386,20,20,9,8,3,1,0,2,3,0,24,0,1
385,2021,20,15245,30,23,9,8,1,2,4,41,42,7,63,0,1
386,2021,20,15216,50,44,9,7,10,6,7,62,57,1,86,0,9
387,2021,20,11587,27,30,9,7,5,4,1,8,4,0,63,3,
388,2021,20,15193,30,25,9,7,1,3,3,24,22,2,61,0,
389,2021,20,11472,60,25,9,6,1,6,5,24,26,0,35,0,9
